,Polarity,ids,date,flag,user,Tweet
578021,0,2212861026,Wed Jun 17 14:37:46 PDT 2009,NO_QUERY,twisted4ddub,"yeah, twitter is dead on my phone "
128638,0,1834945266,Mon May 18 04:41:33 PDT 2009,NO_QUERY,mikeedoo,Had an awesome weekend!  Now back to reality 
647686,0,2236829452,Fri Jun 19 04:37:41 PDT 2009,NO_QUERY,ipkonfig,"Did some pending work for clients. Feeling sad, drowsy and kinda let down. I do notknow what is happening to me. "
488789,0,2182747159,Mon Jun 15 13:34:57 PDT 2009,NO_QUERY,brittanicaa,This whole rain every day thing is started to make me wicked depressed  #fb
344276,0,2015634361,Wed Jun 03 05:09:34 PDT 2009,NO_QUERY,Cunney92,"This is the worst part of the week, ive got 3 and half hours of doing bugger all "
765500,0,2299474661,Tue Jun 23 12:57:55 PDT 2009,NO_QUERY,SisterSinister,@rubberdollemma Yes! Ans what sucks even more is that I've done it now and it still doesn't work!!!! Fuckin shit 
512603,0,2190176958,Tue Jun 16 01:59:29 PDT 2009,NO_QUERY,netjagan,reading docs.......  .... but cant wait for the match Sri and NZ.....
118811,0,1827915893,Sun May 17 11:42:43 PDT 2009,NO_QUERY,gosne544,Studying for exams  save me
711885,0,2258358674,Sat Jun 20 15:47:52 PDT 2009,NO_QUERY,mikereinhart519,@JessicAmber I wanna play laser quest...but I hated being at the mall cuz I was working 
232183,0,1979115263,Sun May 31 01:41:59 PDT 2009,NO_QUERY,flickchick49,@xeniph_b it's been almost a week since i've had even one  but i will fall aleep before 4 tonight. i will i will!
318075,0,2002744224,Tue Jun 02 05:03:02 PDT 2009,NO_QUERY,tahzeeb83,"@TherealNihal no, I forgot to send back the form 4 foregniers ppl, on time.. So they r waiting 4 me in ita 2 vote, but I can't make it "
155487,0,1955864374,Thu May 28 20:45:24 PDT 2009,NO_QUERY,The_Block_2009,"@ColorblindFish I tried ubertwitter a while back, couldn't get it to work on my crackberry. "
137966,0,1880449870,Fri May 22 01:17:02 PDT 2009,NO_QUERY,WildPaw,@Widgetty yep shame but thats the quick answer and thats what they want 
252069,0,1983636449,Sun May 31 13:32:21 PDT 2009,NO_QUERY,BeantownCutie,@YoungQ hopefully it won't be while I am in work  http://myloc.me/2db7
332930,0,2013158805,Tue Jun 02 22:02:33 PDT 2009,NO_QUERY,brigittepicot,@AHLONN i havent got my results yet... 
643658,0,2235825703,Fri Jun 19 02:10:11 PDT 2009,NO_QUERY,MariaFashion,Have a cold 
596178,0,2218945943,Wed Jun 17 23:28:13 PDT 2009,NO_QUERY,britsayswhat,We see right through your funky hat... I wish Kadie liked Wizards.  
624335,0,2229865486,Thu Jun 18 16:18:57 PDT 2009,NO_QUERY,S_Gaidai,Losing poker tourney on a bubble 
305398,0,1999980862,Mon Jun 01 21:10:46 PDT 2009,NO_QUERY,sloanzy,J12 exit on the m25 is closed! Just had to take a massive detour.. annoying   http://twitpic.com/6g3x6
206957,0,1973362604,Sat May 30 11:00:14 PDT 2009,NO_QUERY,allison_neumann,On the road again...its way to beautiful of a day to be driving 
146597,0,1882527931,Fri May 22 07:02:04 PDT 2009,NO_QUERY,TalithaRye,i just realised what a loser i am 
489303,0,2182932363,Mon Jun 15 13:49:34 PDT 2009,NO_QUERY,dinesjoe,Doing bloody english coursework (homework) 
700824,0,2254884972,Sat Jun 20 10:26:00 PDT 2009,NO_QUERY,LesbianaMamiPR,2 hrs till I get to the house.. OD sad.. Missn my lovely city 
445424,0,2068119100,Sun Jun 07 13:31:52 PDT 2009,NO_QUERY,bellahbee,I just got told I look like a boy 
510102,0,2189572441,Tue Jun 16 00:21:20 PDT 2009,NO_QUERY,roxiijonas,"I can't get to sleep, might aswell get up and hope I don't ruin this exam :o "
213688,0,1975061500,Sat May 30 14:21:57 PDT 2009,NO_QUERY,RentalDeception,@tribalspaceman You're so mean sometimes! It shocks and hurts and upsets me.  &lt;3
412831,0,2060445764,Sat Jun 06 18:55:17 PDT 2009,NO_QUERY,darksbane,"#brisweather make up your mind please, I put on jeans cause it was wet and cold. Now it's sunny and hot and I don't want to change "
568990,0,2207757364,Wed Jun 17 08:20:40 PDT 2009,NO_QUERY,Stazziee_X,... Its Raininqq... 
377444,0,2051899989,Fri Jun 05 23:05:45 PDT 2009,NO_QUERY,bubble9909,my tummy hurts 
267419,0,1989193426,Mon Jun 01 00:39:56 PDT 2009,NO_QUERY,Sushilkrishnan,Monday Blues ! 
393525,0,2055423077,Sat Jun 06 09:17:17 PDT 2009,NO_QUERY,nsellington,TIRED!!!!!! I JUST WANT TO GO TO SLEEP!!!!!  ZZZZzzzzzzzzzzzzzzzzzz
137219,0,1880271512,Fri May 22 00:39:47 PDT 2009,NO_QUERY,hellonatalie,wishes I could buy a new back at the supermarket. Yesterday we cleaned up the shed so today I have to pay... Man this is annoying 
681690,0,2249802828,Fri Jun 19 23:03:09 PDT 2009,NO_QUERY,aiharavisuals,Power was out from about 2pm-6pm in Makawao! Didn't get as much work done as I had hoped 
233787,0,1979444571,Sun May 31 03:04:30 PDT 2009,NO_QUERY,_Alisha_Dawn_,I officially have not been asleep in 48 hours. I can't sleep anymore. 
5900,0,1469223607,Tue Apr 07 05:40:05 PDT 2009,NO_QUERY,Slinky_blackcat,thinks that Nigella does a shit tea add 
183930,0,1967548036,Fri May 29 19:46:59 PDT 2009,NO_QUERY,LadyLTattoos,I'm sitting at home bored. Wanting to go out but no one to go with 
204983,0,1972755163,Sat May 30 09:49:34 PDT 2009,NO_QUERY,RachelBryden,@KatieRusman the bloating!!   i had a weird test thing today and no more cows milk and cheese for me! haha
696252,0,2253472450,Sat Jun 20 08:13:41 PDT 2009,NO_QUERY,mguarinnn,I have no clue what to get Dad for Father's Day. 
665641,0,2244967800,Fri Jun 19 15:28:13 PDT 2009,NO_QUERY,bkyle55,on my way to dallas! only 2 and a haf hours left 
351460,0,2018598033,Wed Jun 03 10:12:48 PDT 2009,NO_QUERY,FromMetoY0u,@Andrea73088 thank you!!!! I hope I feel better too...  lol luv yaa
84712,0,1753665312,Sun May 10 02:47:41 PDT 2009,NO_QUERY,AllyShone,@gingernaps it's so goood! I'm currently on Episode 10 at the moment! This show has gotta stay around 
582481,0,2214627361,Wed Jun 17 17:00:38 PDT 2009,NO_QUERY,taylorstuevs,@LeoniaTran you are the amazing one! and im trying to get ahold of you right now but your not talking to me. SAD DAY!! 
434255,0,2065143586,Sun Jun 07 07:59:24 PDT 2009,NO_QUERY,Amber_Pearson,picking up froyoooo with Jackie-- then heading to the airport to send her back to the West Coast 
58143,0,1685830493,Sun May 03 02:18:24 PDT 2009,NO_QUERY,lukepascoe,"Somewhere in our house is a mouse. It's true, i've seen it. Can't find it now though and the cats don't seem too interested. "
41563,0,1574102744,Tue Apr 21 04:15:25 PDT 2009,NO_QUERY,sweetstarsky,@kimmyg123 what a bitch!  i'm gonna buy a 2 disc edition too even though the single disc one is gonna be $23 at work
730162,0,2263493964,Sun Jun 21 00:58:07 PDT 2009,NO_QUERY,Cali_Diva,@casssidyblog awww you sound like me.. my BFF is 350 miles away 
687564,0,2251309377,Sat Jun 20 03:05:23 PDT 2009,NO_QUERY,faarih,Needs a rapidshare account 
236062,0,1979903412,Sun May 31 04:58:06 PDT 2009,NO_QUERY,Dani__x,Not looking forward to going to school tomorrow. Sigh  Maybe Gabby really is the only person who cares. Ily Gab. Imma go to bed. x.
419294,0,2061952411,Sat Jun 06 21:59:27 PDT 2009,NO_QUERY,starsmilee,"Bad day, I hate the month of June! I hate it so much! "
179256,0,1966214572,Fri May 29 17:20:34 PDT 2009,NO_QUERY,Nicholezion,Wanting to go out... apparently no ones available! 
148851,0,1883255945,Fri May 22 08:15:33 PDT 2009,NO_QUERY,paramoreroxx,Feeling cut off from tweetworld..not had a single tweet to my phone today 
499303,0,2186482252,Mon Jun 15 18:54:15 PDT 2009,NO_QUERY,seclusion183,he has to know that he be making my day... what will i do with myself come the 28th? 
728376,0,2263054057,Sat Jun 20 23:50:41 PDT 2009,NO_QUERY,ctaudreylim,@amirahanis I had one! But I gave it away.... 
4914,0,1468945063,Tue Apr 07 04:31:35 PDT 2009,NO_QUERY,robiiinn,Not feeling too good today 
193746,0,1970138732,Sat May 30 02:36:43 PDT 2009,NO_QUERY,LauLiz,Is loving the nice day but has nothing to do  if I go into mansfield I'll be going on my own boo.
555057,0,2203982859,Wed Jun 17 01:01:20 PDT 2009,NO_QUERY,tasteofsarah,No movie too late. Poor Rupert looks really sick 
654023,0,2239207058,Fri Jun 19 08:15:36 PDT 2009,NO_QUERY,sosumi,Coming to terms with a 100% full flight and a middle seat 
24214,0,1557936450,Sun Apr 19 06:38:36 PDT 2009,NO_QUERY,kayliekitten,hates pc's! and doesn't know how to connect her printer to her mac 
333391,0,2013322139,Tue Jun 02 22:24:07 PDT 2009,NO_QUERY,hannahhwang,@ewaniesciuszko  i am so sad i wont see you! I miss you already. and yeah! that's perfect; i come back the 18th!
82040,0,1752930019,Sat May 09 23:29:12 PDT 2009,NO_QUERY,cheriek,"i want my f�rgrik mug, and my motto glas glass bowl dammit. i hate you melb ikea. screw you "
286621,0,1993965353,Mon Jun 01 11:12:07 PDT 2009,NO_QUERY,makemebabies,We're down due to hardware failure...  we'll be back online shortly
26834,0,1558937674,Sun Apr 19 09:49:02 PDT 2009,NO_QUERY,Sprucehillfarm,Not having any fun organizing spring clothing for the kids 
589101,0,2216879531,Wed Jun 17 20:05:33 PDT 2009,NO_QUERY,GerryArgutto,Goin 2 bed. Got a funeral to go to in the AM... 
421959,0,2062540042,Sat Jun 06 23:31:53 PDT 2009,NO_QUERY,Miz_Calamity,Thank you @gogoroflcopter for picking me up/taking me to the airport! I &lt;3 you!!! I miss everyone already!!! 
312643,0,2001573995,Tue Jun 02 01:20:18 PDT 2009,NO_QUERY,janari01,all alone at work....and its freezin cold 
633526,0,2233027743,Thu Jun 18 20:43:54 PDT 2009,NO_QUERY,fmirol,"@phillipmaddox Well, then I don't know...I had one in my home directories' Library/iTunes  "
272639,0,1990249857,Mon Jun 01 04:20:04 PDT 2009,NO_QUERY,darapixie,'Drained' Susan Boyle Admitted To The Priory http://tinyurl.com/lnm6a2 (poor woman  )
748525,0,2284403403,Mon Jun 22 13:50:33 PDT 2009,NO_QUERY,SarahxFrancis,http://twitpic.com/84ova - Laura rescued this wee guy 
172663,0,1963650712,Fri May 29 13:02:43 PDT 2009,NO_QUERY,emmacandlish,Ahhh feel sorry for that little girl  can't watch her crying xx
338902,0,2014533245,Wed Jun 03 01:51:07 PDT 2009,NO_QUERY,Arrowroot,wants to go back to TO  at least I am sketching again s'pose....Want to play more with colour &gt;&lt; need to clear up room to do it D8
248178,0,1982649877,Sun May 31 11:37:49 PDT 2009,NO_QUERY,mournfulgoddess,"@robertkmaurer i was up at 9, lol STILL too early "
144219,0,1881917746,Fri May 22 05:51:09 PDT 2009,NO_QUERY,Princessamy1983,@kgoyette Just recovering from that cold. it took over my life for a good week  Feel better!
639721,0,2234793256,Thu Jun 18 23:45:52 PDT 2009,NO_QUERY,awinterberg,@rachael312 haha and I miss you too!  I just love me some jonas brothers! Haha
595029,0,2218666460,Wed Jun 17 22:54:49 PDT 2009,NO_QUERY,taylordobbs,@theglitch Well it's either a different actor or no joker. It's not like we can petition for Heath... 
558785,0,2204832773,Wed Jun 17 03:15:02 PDT 2009,NO_QUERY,kaytgee,saying bye to re  workin all day then closing the restaurant...woof
687027,0,2251172344,Sat Jun 20 02:39:49 PDT 2009,NO_QUERY,EanaEnergetic,hates to stay at home with parents 
272236,0,1990161172,Mon Jun 01 04:04:07 PDT 2009,NO_QUERY,Sandypandyz,indecisivenesssss.....y cant i decide or make up my mind about anythngggg 
764870,0,2299131883,Tue Jun 23 12:32:28 PDT 2009,NO_QUERY,RisaSugimoto,@TheTater and I wasn't there or invited?!  Lame-ness  oh well...
573892,0,2210111176,Wed Jun 17 11:10:58 PDT 2009,NO_QUERY,BritJones9863,still writing my paper. not doing so well. bad grade here I come.   *using twitter to update to feel better about not writing my paper
157817,0,1956465720,Thu May 28 21:56:24 PDT 2009,NO_QUERY,scottkeenan,@johncmayer It feels like we don't talk any more. 
304200,0,1999679503,Mon Jun 01 20:38:06 PDT 2009,NO_QUERY,Nautiboi55,"Damn, i feel so blah &amp; yuck, idk y but w.e i jus gotta get over it i guess smh "
395884,0,2056221359,Sat Jun 06 10:44:55 PDT 2009,NO_QUERY,kateisacreeper,@brendonuriesays @thisisryanross I was so looking forward to this  http://twitpic.com/6r9i0
249381,0,1982948481,Sun May 31 12:12:45 PDT 2009,NO_QUERY,stevieg_83,oh no - VAT return due and Xero is down for maintenance! Was supposed to be back online 10mins ago but no joy 
375917,0,2051560200,Fri Jun 05 22:18:06 PDT 2009,NO_QUERY,stargazerghem,i feel as depressed as i did in february of 2007.  my family notices it. not cool.
666152,0,2245181239,Fri Jun 19 15:46:13 PDT 2009,NO_QUERY,EHollywood,I hate the Ipod Touch Apps.....i always want to buy more...Now I need 16 Gig Ipod touch 
209160,0,1973902307,Sat May 30 12:03:23 PDT 2009,NO_QUERY,kerryetches,@majornelson I don't even get that kind of speed at sea level 
373529,0,2051029095,Fri Jun 05 19:43:57 PDT 2009,NO_QUERY,daniellegant,"My body hurts from laying in the feedle position for so long.  I'm tired of being sick, keep me in your prayers!"
121412,0,1833502233,Sun May 17 23:29:40 PDT 2009,NO_QUERY,aileenabigail,my head still hurts. i think i need to go to the doctor.  i will never use the pool slide again. not.
49154,0,1678065433,Sat May 02 05:20:45 PDT 2009,NO_QUERY,ReeCastro,I need milk for breakfast. I really don't want to leave the house before I eat.  Waaah!!!
736942,0,2265122637,Sun Jun 21 05:50:43 PDT 2009,NO_QUERY,abbiemiller,@activeducator This http://twurl.nl/4abtu6 link you mentioned is not working.  I was very interested too 
206461,0,1973135567,Sat May 30 10:33:19 PDT 2009,NO_QUERY,Abdullah1411,asked my god to help me &gt;&gt;  i am so sad..
546469,0,2201768064,Tue Jun 16 20:44:43 PDT 2009,NO_QUERY,ShelbyHarden,@TheFelixMolina I suppose I could.. What a let down! 
176192,0,1965267809,Fri May 29 15:37:11 PDT 2009,NO_QUERY,P_e_a_c_e_,HA! I'd give Kristen plenty of free hugs! *sigh* if only I could 
504933,0,2188261091,Mon Jun 15 21:34:41 PDT 2009,NO_QUERY,TreoBenny,"@marandalynn I soooo love Dirty Dancing...but I can't watch it alone. It's too sweet, it'll make me lonely "
767771,0,2300687004,Tue Jun 23 14:27:55 PDT 2009,NO_QUERY,dalzinho,@Kenny73 No reason for sneaking up to the West End Bar on a Sunday 
38938,0,1573402410,Tue Apr 21 01:00:22 PDT 2009,NO_QUERY,floss,@andthesewalls soz to hear flat fell through  Hope all picks up soon xx
752367,0,2286438292,Mon Jun 22 16:26:49 PDT 2009,NO_QUERY,JessiJaeJoplin,My GPS is going crazzyyy  damnit janet!!!!
266853,0,1989073322,Mon Jun 01 00:15:29 PDT 2009,NO_QUERY,ssidknee,has work... 
529927,0,2195695521,Tue Jun 16 11:28:46 PDT 2009,NO_QUERY,shravanpn7,@AFineFrenzy But m frm India 
286667,0,1993983069,Mon Jun 01 11:13:46 PDT 2009,NO_QUERY,Jaaniinaa,@charley_d thx 
267257,0,1989157902,Mon Jun 01 00:32:22 PDT 2009,NO_QUERY,tzlillovemcfly,http://www.myspace.com/trailerpark  amazing!!!&gt;....u all have to watch this but sad it's not like the book 
399980,0,2057294701,Sat Jun 06 12:44:06 PDT 2009,NO_QUERY,Persil1984,sitting bored on the computer 
683184,0,2250199974,Fri Jun 19 23:56:28 PDT 2009,NO_QUERY,lastkarrde,Looking at Kohana. Sick of PHP4 suckiness of Code Igniter 
790906,0,2325800130,Thu Jun 25 06:05:00 PDT 2009,NO_QUERY,Viccerella,@Stefanvds OH NO! Fucking bug bastard biting you!  how dare he?!  Poor Tweeten 
41462,0,1574065684,Tue Apr 21 04:06:23 PDT 2009,NO_QUERY,ew1996bear,going to school soon... and it's raining! 
522490,0,2192781949,Tue Jun 16 07:32:29 PDT 2009,NO_QUERY,Jonesy_Bones,aww millie needs to go visit the vet later poor cat 
688059,0,2251431147,Sat Jun 20 03:29:09 PDT 2009,NO_QUERY,KenyaDMorris,@LLCOOLDAVE *sigh*...car...driving...memories 
366275,0,2048815884,Fri Jun 05 15:49:18 PDT 2009,NO_QUERY,iheartscuttle,"@cazob I swear, your tweets are epic when reading fanfic lol, they're keeping me amused whilst I'm blocked  lmao"
719792,0,2260705027,Sat Jun 20 19:38:44 PDT 2009,NO_QUERY,bittybassdrumr,I miss Sara!!! I just found her profile.. 
206346,0,1973100763,Sat May 30 10:29:17 PDT 2009,NO_QUERY,Toria5,bored. wish i was having a hoot hoot at paultons park too  gutted.
792789,0,2326397119,Thu Jun 25 06:59:08 PDT 2009,NO_QUERY,Girlygirl0615,i dont want him to go!!! 
745060,0,2282108155,Mon Jun 22 10:57:11 PDT 2009,NO_QUERY,glassidentities,@Zzazz  my weekend was ok... one f those where we did not get as much done as we wanted.. ended up running about a lot 
383492,0,2053208956,Sat Jun 06 03:42:06 PDT 2009,NO_QUERY,georgiakatee,i just burnt myself checking my epic dinner i just cooked 
747763,0,2283885718,Mon Jun 22 13:11:26 PDT 2009,NO_QUERY,philip_roberts,Just had an idea for an app to build impromptu chat rooms to discuss things w/ random people outside twitter. Too late  http://tr.im/pmZB
350704,0,2018027100,Wed Jun 03 09:19:20 PDT 2009,NO_QUERY,hiyakate,i will start my history cw in a moment boo  .. got no motivation whatsoever :')
207768,0,1973562095,Sat May 30 11:23:36 PDT 2009,NO_QUERY,Infamous_10k,@lucasartsgames Infamous on the 360 
687169,0,2251204443,Sat Jun 20 02:45:50 PDT 2009,NO_QUERY,lewisholland,what is myspaces damage today ? not been getting notifications for 3 days now 
228901,0,1978361044,Sat May 30 23:07:41 PDT 2009,NO_QUERY,sexyscars,"Is hearing Valerie throw up. Poor girl is really sick, my heart hurts now "
331378,0,2012651829,Tue Jun 02 21:02:22 PDT 2009,NO_QUERY,brandonbMK09,@MissNic03 yea unfortunately u gota make an account  u don't have to buy anything tho.
191186,0,1969573814,Sat May 30 00:29:02 PDT 2009,NO_QUERY,OnyxCheetah,"Checked my clock and saw he may still be on. Logged on and found he left 30 mins earlier.     I love him, and hope he's okay."
714172,0,2259043514,Sat Jun 20 16:55:32 PDT 2009,NO_QUERY,bernardx,@feliciaday so I was waiting for my coffee listening to Dr. Horrible on my ipod and I accidently shouted &quot;we do the wierd stuff!&quot; outloud 
227032,0,1977977720,Sat May 30 22:08:32 PDT 2009,NO_QUERY,nakiasmile,OMG this movie is gonna make me cry 
52615,0,1679799487,Sat May 02 10:12:25 PDT 2009,NO_QUERY,pupp63,ugh... have to study for science test... 
483187,0,2180280154,Mon Jun 15 10:15:14 PDT 2009,NO_QUERY,LauRenxExCarter,@FreekitTweekit lol but @Brian_Oneal isnt talkin to me or doin anything reckless ryte now 
307767,0,2000548707,Mon Jun 01 22:22:04 PDT 2009,NO_QUERY,uniquelink,My heart goes out to all da ppl missing frm the Air France plane and their relatives.. Sad news 
84258,0,1753552506,Sun May 10 02:12:52 PDT 2009,NO_QUERY,Madame_Anne,Have to leave home soon. I would rather stay here than getting back to berlin and keep on writing my BA.  Life s so hard! Boohoo
191016,0,1969487514,Sat May 30 00:11:30 PDT 2009,NO_QUERY,hhnrocks,"@dylancoyle thanks. I went to see my friend Katya. Might be able to do something tomorrow evening, but getting up at 4am on Sunday "
250474,0,1983229754,Sun May 31 12:45:21 PDT 2009,NO_QUERY,macgasm,@dickiemaxx  seems alright.  It seems like Friendfeed integration isn't working though. 
187416,0,1968645812,Fri May 29 21:53:22 PDT 2009,NO_QUERY,torilee17,Farewell Tonight Show with Jay 
76998,0,1695954689,Mon May 04 07:18:31 PDT 2009,NO_QUERY,cowboytaker,ugh i just wanna crawl back into bed  9 hours of work? fuck
487804,0,2182275326,Mon Jun 15 12:57:26 PDT 2009,NO_QUERY,TeraWillard,UGH....Still pissed the hard drive on my HP laptop crashed!!! Lost ALL of my pictures! It was only 3 years old 
590632,0,2217388763,Wed Jun 17 20:47:52 PDT 2009,NO_QUERY,Nightstrk254,"Well I am really bored. I have the need to grind and lvl my druid, but I cant afford a WoW Time Card. "
641372,0,2235230516,Fri Jun 19 00:43:41 PDT 2009,NO_QUERY,Inque313,yet another night of no sleep... I can feel it. Last night only 2 hours. Tonight who knows... damn meds. and i have to work in the am. 
454505,0,2070633023,Sun Jun 07 18:02:23 PDT 2009,NO_QUERY,infinitenothing,I just heard about a Greyhound that got knocked into the mechanical rail and sustained some gruesome injuries all for human entertainment 
